,category_0,category_1,filename,entity,label,split
0,n a,none,employer_phone_ext,0,1,test
1,10001 new york,10018 new york,city,1,1,train
2,10001 new york,113 w 60th street new york ny,city,1,1,train
3,10001 new york,210 10th ave new york ny 10011,city,1,1,train
4,10001 new york,amityville new york,city,1,1,train
5,10001 new york,brooklyn new york,city,1,1,train
6,10001 new york,brooklyn new york 11201 united,city,1,1,train
7,10001 new york,brooklyn new york 11231,city,1,1,train
8,10001 new york,brooklyn new york city,city,1,1,train
9,10001 new york,les new york,city,1,1,train
10,10001 new york,lower east side new york,city,1,1,train
11,10001 new york,manhattan new york,city,1,1,train
12,10001 new york,manhattan new york city,city,1,1,train
13,10001 new york,new york,city,1,1,train
14,10001 new york,new york 10001,city,1,1,train
15,10001 new york,new york 10002,city,1,1,train
16,10001 new york,new york 10003,city,1,1,train
17,10001 new york,new york 10004,city,1,1,train
18,10001 new york,new york 10005,city,1,1,train
19,10001 new york,new york 10009,city,1,1,train
20,10001 new york,new york 10010,city,1,1,train
21,10001 new york,new york 10011,city,1,1,train
22,10001 new york,new york 10012,city,1,1,train
23,10001 new york,new york 10013,city,1,1,train
24,10001 new york,new york 10014,city,1,1,train
25,10001 new york,new york 10016,city,1,1,train
26,10001 new york,new york 10018,city,1,1,train
27,10001 new york,new york 10019,city,1,1,train
28,10001 new york,new york 10020,city,1,1,train
29,10001 new york,new york 10022,city,1,1,train
30,10001 new york,new york 10023,city,1,1,train
31,10001 new york,new york 10024,city,1,1,train
32,10001 new york,new york 10027,city,1,1,train
33,10001 new york,new york 10029,city,1,1,train
34,10001 new york,new york 10036,city,1,1,train
35,10001 new york,new york 10038,city,1,1,train
36,10001 new york,new york 10039,city,1,1,train
37,10001 new york,new york 10128,city,1,1,train
38,10001 new york,new york 10281,city,1,1,train
39,10001 new york,new york 10986,city,1,1,train
40,10001 new york,new york 11205,city,1,1,train
41,10001 new york,new york 11249,city,1,1,train
42,10001 new york,new york 11361,city,1,1,train
43,10001 new york,new york 11693,city,1,1,train
44,10001 new york,new york 11743,city,1,1,train
45,10001 new york,new york 11754,city,1,1,train
46,10001 new york,new york 12498,city,1,1,train
47,10001 new york,new york brooklyn,city,1,1,train
48,10001 new york,new york city,city,1,1,train
49,10001 new york,new york city new york,city,1,1,train
50,10001 new york,new york city ny 10011 8500,city,1,1,train
51,10001 new york,new york ctiy,city,1,1,train
52,10001 new york,new york flushing,city,1,1,train
53,10001 new york,new york lexington,city,1,1,train
54,10001 new york,new york los angeles austin,city,1,1,train
55,10001 new york,new york manhattan,city,1,1,train
56,10001 new york,new york maplecrest 12454,city,1,1,train
57,10001 new york,new york midtown west manhattan,city,1,1,train
58,10001 new york,new york new york,city,1,1,train
59,10001 new york,new york new york 10038,city,1,1,train
60,10001 new york,new york ny,city,1,1,train
61,10001 new york,new york ny 10001,city,1,1,train
62,10001 new york,new york ny 10003,city,1,1,train
63,10001 new york,new york ny 10004,city,1,1,train
64,10001 new york,new york ny 10009,city,1,1,train
65,10001 new york,new york ny 10010,city,1,1,train
66,10001 new york,new york ny 10011,city,1,1,train
67,10001 new york,new york ny 10012,city,1,1,train
68,10001 new york,new york ny 10013,city,1,1,train
69,10001 new york,new york ny 10016,city,1,1,train
70,10001 new york,new york ny 10017,city,1,1,train
71,10001 new york,new york ny 10018,city,1,1,train
72,10001 new york,new york ny 10019,city,1,1,train
73,10001 new york,new york ny 10022,city,1,1,train
